genome,MC02(8-10cmbsf),MC02(28-30cmbsf),D1T1(0-2cmbsf),D1T1(4-6cmbsf),D1T2(4-6cmbsf),D1T2(24-26cmbsf),T1B3R1(0-3cmbsf),T1B3R2(0-3cmbsf),T1B5(0-2cmbsf),T1B5(8-10cmbsf),T1B5(28-30cmbsf),T1B5(38-40cmbsf),T1B8(2-4cmbsf),T1B8(16-18cmbsf),T1L6T1(0-3cmbsf),T1L6T2(0-3cmbsf),T1B10(0-2cmbsf),T1B10(36-38cmbsf),T1B10(44-46cmbsf),T1B11(0-3cmbsf),T3L11(0-3cmbsf),T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),T3L8(0-3cmbsf),T3L8(6-9cmbsf),T3L8(12-15cmbsf),T3L7(18-21cmbsf),T3L14(0-2cmbsf),T3L14(4-6cmbsf),T3L14(6-8cmbsf),T3L14(12-14cmbsf),T3L14(18-20cmbsf),T1L10(0-3cmbsf),T1L10(6-9cmbsf),T1L10(12-15cmbsf),T1L10(18-21cmbsf)
B2D1T2,0.5923879,0.1354878,0.34442434,0.5640845,0.97378683,0,0.15613441,0.101386994,0.8931092,0.25888702,0.053533606,0.113475345,0.016224734,0.016356772,0.0885365,0.025016239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B59T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024111493,0.11528568,0,0,0.03616341,0.029715888,0,0,0,0,0.03179266,0,0.008610503,0.013007834,0
B100T1B8,0,0,0,0,0,0,0,0,0,0,0,0.009723325,0.006760581,0.123118296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B68T1B5,0.020980965,0.01880183,0,0,0.014038265,0.018534882,0.025805738,0.031053571,0.045679256,0.05269368,0.09859548,0.11957852,0.060847912,0.0609445,0.06797782,0.052149866,0,0.026954215,0.044359665,0.039492678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B33T1B10,0,0,0,0,0,0,0,0,0,0,0,0,0.002229705,0,0,0,0.08262898,0.053122383,0.13480636,0,0.028394245,0.029830486,0.012414206,0,0.03314927,0.01775603,0,0,0.01856736,0.024775986,0.029435081,0,0,0.041763104,0.02878619,0.020564143,0
B18D1T1,0.3350849,0.21120426,0.15348265,0.22757035,0.2103766,0.020894464,0.1623808,0.15558141,0.20316036,0.31516626,0.08382813,0.13321128,0.103490256,0.17491919,0.2650708,0.29044193,0.063231476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B39T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0.006521627,0.003963556,0,0,0,0.016557548,0.022927547,0,0.04649613,0.0478695,0,0,0.030414388,0,0,0,0.020952187,0.025042506,0.034487817,0,0,0.027085593,0.030588984,0.008757965,0
B89T1B8,0,0,0,0,0,0,0,0,0,0,0,0.007659681,0.08120159,0.044203006,0,0,0,0.02934243,0.046371475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B60T1B5,0,0,0,0,0,0,0,0,0,0,0.10764523,0.07623831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B28T3L11,0,0,0,0,0,0,0,0,0.00890543,0,0,0.004231301,0.02237299,0.01631875,0,0,0.13875097,0.024422172,0.013565439,0.12221484,0.13453254,0.049519453,0,0,0.06926873,0,0,0,0.07362188,0.12161462,0.11304874,0,0,0.15260476,0.047281686,0,0
B36T1B5,0,0,0,0,0,0.010459028,0,0,0.034276545,0,0.026272532,0.07399403,0.04920564,0.045718353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B28T1B5,0,0,0,0,0,0.023604888,0,0,0,0,0.07711577,0.087755285,0.004212373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
