cluster,T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),MAGs,Phylum
cluster87,0.000073,0.000138,0.000075,B95T1B8;B55T1B5;B4D1T2;B25T1L6,Dadabacteria
cluster88,0.000004,0.000015,0.000004,B92T1B8,Bacteroidota
cluster89,0.000045,0.000018,0.000013,B24D1T1;B19T1B3,Proteobacteria
cluster90,0.000894,0.002746,0.00103,B43T3L14;B23T3L11,Proteobacteria
cluster91,0.004784,0.000099,0.000402,B5T3L11;B37T3L8,Proteobacteria
cluster92,0.00389,0.004142,0.004293,B82T3L11;B2T1L10,Nitrospinota
cluster93,0.000046,0.000057,0.000058,B39T1L10,Nitrospinota
cluster94,0.000076,0.00005,0.000045,B75T1B8,Planctomycetota
cluster95,0.000301,0.000188,0.000155,B77T1B5;B70T1B8;B4MC02;B24T1B10;B13T1L6;B11D1T2,KSB1
cluster96,0.000031,0.000042,0.000037,B15T1B3,KSB1
cluster97,0.00001,0.000015,0.000014,B1D1T1,KSB1
cluster98,0.000512,0.000629,0.000643,B79T1L10,KSB1
cluster99,0.000031,0.000055,0.000047,B16T1L6,KSB1
cluster100,0.000175,0.000175,0.000171,B27T1B5,Planctomycetota
cluster101,0.000173,0.000181,0.000184,B78T1B8,Acidobacteriota
cluster102,0.000116,0.000038,0.000026,B79T1B8,Euryarchaeota
cluster103,0.000077,0.00008,0.00056,B18T3L14,Chloroflexota
cluster104,0.000028,0.000022,0.00047,B99T1L10,Chloroflexota
cluster105,0.000023,0.000036,0.000016,B79T1B5,Chloroflexota
cluster106,0.000001,0.000003,0,B62T1B5,Nanoarchaeota
cluster107,0.000264,0.000296,0.000291,B1T3L11,Omnitrophota
cluster108,0.0004,0.000386,0.000433,B69T1L10;B30T3L11,KSB1
cluster109,0.000009,0.000016,0.000017,B21T3L8,Nitrospinota
cluster110,0.001085,0.001295,0.00124,B68T3L11,Bacteroidota
cluster111,0.000061,0.000041,0.000061,B93T1L10,Bacteroidota
cluster112,0.001144,0.001234,0.001251,B52T1B8;B38T3L11;B13T1B10,Bacteroidota
cluster113,0.000138,0.000178,0.000164,B65T1L10;B29T3L8,Bacteroidota
cluster114,0.000566,0.000587,0.000617,B74T1L10;B6T1B10;B17D1T2,Bacteroidota
cluster115,0.000136,0.000172,0.000164,B24T3L14,Bacteroidota
cluster116,0.00013,0.000171,0.000148,B96T3L11,Bacteroidota
cluster117,0.000161,0.000168,0.000123,B54T1B5;B47T1B8,Bacteroidota
cluster118,0.00005,0.000039,0.000046,B6MC02,Bacteroidota
cluster119,0.000071,0.000082,0.000073,B14D1T1,Bacteroidota
cluster120,0.006521,0.006915,0.007187,B3T3L14;B23T1B10,KSB1
cluster121,0.000981,0.00107,0.001131,B57T1L10;B22T1L6,Dadabacteria
cluster122,0.000006,0.000002,0.000004,B28T3L8,Nanoarchaeota
cluster123,0.000038,0.000032,0.00003,B51T1B8;B32T1B5,Acidobacteriota
cluster124,0.018752,0.01971,0.020674,B77T1L10;B15T3L11,Actinobacteriota
cluster125,0.000009,0.000006,0.000009,B48T1B5,Dadabacteria
cluster126,0.000021,0.000043,0.000024,B69T1B8,Actinobacteriota
cluster127,0.000056,0.00007,0.000054,B14T1B8,Armatimonadota
cluster128,0.000286,0.00027,0.000289,B55T1L10,Armatimonadota
cluster129,0.001387,0.001534,0.001554,B59T1B8,Armatimonadota
cluster130,0.001127,0.001268,0.001255,B20T1L10,Latescibacterota
cluster131,0.010146,0.010736,0.011148,B90T1L10;B8T1B5;B87T3L11;B19T3L14,Planctomycetota
cluster132,0.000004,0.000011,0.000005,B6T1B8,TA06
cluster133,0.003732,0.004032,0.004182,B67T1L10;B52T3L14;B16T3L11,Planctomycetota
cluster134,0.000219,0.000194,0.000232,B31T1B8,Planctomycetota
cluster135,0.000127,0.000153,0.000152,B86T1B8;B22D1T2,Actinobacteriota
cluster136,0.000009,0.000008,0.000008,B28T1B8,Planctomycetota
cluster137,0.000012,0.000012,0.00001,B39T1B5,Planctomycetota
cluster138,0.000015,0.000024,0.000012,B3D1T2,Planctomycetota
cluster139,0.009968,0.010568,0.010979,B63T3L11;B35T3L8;B32T3L14;B27T1L10;B18T1L6,Planctomycetota
cluster140,0.000685,0.000742,0.000727,B2T1B10;B23T1B5,Planctomycetota
cluster141,0.000055,0.000063,0.000058,B1MC02,Planctomycetota
cluster142,0.000561,0.000612,0.000628,B104T1B8,Planctomycetota
cluster143,0.000554,0.000621,0.000634,B25T3L14,Planctomycetota
cluster144,0.006883,0.007195,0.007583,B68T1L10,Planctomycetota
cluster145,0.000318,0.000374,0.000324,B4T1B5,Planctomycetota
cluster146,0.000024,0.000024,0.000026,B6D1T1,Planctomycetota
cluster147,0.001948,0.00221,0.002291,B87T1L10;B7T3L11,Planctomycetota
cluster148,0.000457,0.000441,0.00049,B20T1B5,Planctomycetota
cluster149,0.00005,0.000052,0.000052,B69T1B5,Acidobacteriota
cluster150,0.000114,0.000106,0.000103,B88T3L11;B3T3L8,Planctomycetota
cluster151,0.000189,0.000153,0.000196,B88T1L10,Chloroflexota
cluster152,0.001112,0.001244,0.001274,B73T3L11;B33T1L10,Planctomycetota
cluster153,0.001384,0.001512,0.001561,B108T1L10,Planctomycetota
cluster154,0.001528,0.001537,0.001678,B13T3L11,Planctomycetota
cluster155,0.00261,0.002917,0.002982,B14T1B10;B11T1L10,Planctomycetota
cluster156,0.000307,0.000304,0.000333,B10T1L6,Planctomycetota
cluster157,0.00039,0.000391,0.000346,B45T1B5,Planctomycetota
cluster158,0.00057,0.000608,0.00063,B50T3L11,Planctomycetota
cluster159,0.00058,0.000618,0.000625,B57T3L14,Planctomycetota
cluster160,0.000286,0.000273,0.000295,B15T3L8,Planctomycetota
cluster161,0.000329,0.000338,0.000351,B34T1B5,Planctomycetota
cluster162,0.001431,0.001606,0.001584,B17T1L10,Planctomycetota
cluster163,0.000078,0.00009,0.000079,B3T1B8,Planctomycetota
cluster164,0.00111,0.001241,0.001266,B5T3L8,Planctomycetota
cluster165,0.002694,0.003049,0.002888,B63T1L10,Planctomycetota
cluster166,0.001534,0.001739,0.001743,B16T1L10,Planctomycetota
cluster167,0.000114,0.000115,0.000112,B21T1B5;B100T1B8,Planctomycetota
cluster168,0.000875,0.000882,0.000922,B60T1L10,Planctomycetota
cluster169,0.000082,0.000084,0.000096,B85T1B8,Planctomycetota
cluster170,0.000113,0.000124,0.000106,B73T1B8,Planctomycetota
cluster171,0.00195,0.002027,0.002107,B76T1L10,Planctomycetota
cluster172,0.000138,0.000175,0.000162,B66T1L10,Planctomycetota
